variant,seed,length_group,num_samples,avg_loc,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA
chunk_train_off,5,<=20,13,13.153846153846153,1.0,0.3692307692307692,0.9407051282051282,0.8846153846153846,0.9423466965133632,0.0
chunk_train_off,5,>100,12,334.75,0.75,0.275,0.5897467320261438,0.4938492063492063,0.5311921296296297,2.5
chunk_train_off,6,21-50,14,29.714285714285715,1.0,0.33571428571428574,0.953968253968254,1.0,0.9910714285714286,0.0
chunk_train_off,6,51-100,11,74.0909090909091,1.0,0.36363636363636365,0.8502066115702479,0.9545454545454546,0.9545454545454546,0.0
chunk_train_off,6,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_train_off,6,>100,12,334.75,0.75,0.2833333333333334,0.618545751633987,0.48541666666666666,0.5092332766439909,3.0
chunk_train_off,7,21-50,14,29.714285714285715,1.0,0.2714285714285714,0.8404761904761904,1.0,0.9558862433862434,0.0
chunk_train_off,7,51-100,11,74.0909090909091,1.0,0.32727272727272727,0.8259641873278237,0.9545454545454546,0.9262085137085136,0.0
chunk_train_off,7,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_train_off,7,>100,12,334.75,0.75,0.25833333333333336,0.5758578431372549,0.5069444444444444,0.5273892195767196,2.0
chunk_train_off,8,21-50,14,29.714285714285715,1.0,0.2785714285714286,0.8571428571428571,1.0,0.9558862433862434,0.0
chunk_train_off,8,51-100,11,74.0909090909091,1.0,0.30000000000000004,0.7905647382920109,0.9545454545454546,0.9545454545454546,0.0
chunk_train_off,8,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8333333333333334,0.9018487993487992,0.0
chunk_train_off,8,>100,12,334.75,0.75,0.24166666666666667,0.5681781045751634,0.5236111111111111,0.5389403292181071,1.5
chunk_train_off,9,21-50,14,29.714285714285715,0.9285714285714286,0.2857142857142857,0.846031746031746,0.9285714285714286,0.9183673469387755,0.0
