variant,seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC
chunk_train_on,4,0.94,0.336,0.848579768270945,0.8295238095238094,0.8590701152683295,0.0,0.014578335486252,0.1211072664359861
chunk_train_on,5,0.94,0.3259999999999999,0.841913101604278,0.7993571428571429,0.8332728269085412,0.0,0.0132865842406348,0.1453287197231834
chunk_train_on,6,0.94,0.3419999999999999,0.8510797682709449,0.8433333333333334,0.8708548374905518,0.0,0.0129175124561727,0.1487889273356401
chunk_train_on,7,0.94,0.3379999999999999,0.8480797682709448,0.8516666666666666,0.8716072184429328,0.0,0.0125484406717106,0.1557093425605536
chunk_train_on,8,0.94,0.3199999999999999,0.8388575460487224,0.8186904761904762,0.8455057067271353,0.0,0.0132865842406348,0.1453287197231834
chunk_train_on,9,0.94,0.342,0.8541124480095068,0.829,0.858654298941799,0.0,0.0140247278095589,0.1314878892733564
chunk_infer_off,0,0.84,0.284,0.7444924242424242,0.8,0.818223544973545,0.0,0.0119948329950175,0.1799307958477508
chunk_infer_off,1,0.86,0.2739999999999998,0.7421035353535353,0.7631666666666667,0.7842734567901235,0.0,0.0123639047794796,0.1626297577854671
chunk_infer_off,2,0.86,0.2959999999999999,0.7716590909090908,0.82,0.8275251322751322,0.0,0.0116257612105554,0.1799307958477508
chunk_infer_off,3,0.86,0.2859999999999999,0.7674368686868687,0.8066666666666668,0.8273473544973545,0.0,0.0118102971027864,0.1764705882352941
chunk_infer_off,4,0.86,0.298,0.7749924242424242,0.82,0.8365568783068784,0.0,0.0114412253183244,0.1833910034602076
chunk_infer_off,5,0.86,0.29,0.7658813131313131,0.8066666666666668,0.8294806878306877,0.0,0.0125484406717106,0.1764705882352941
chunk_infer_off,6,0.86,0.298,0.7683257575757575,0.82,0.8375568783068783,0.0,0.0114412253183244,0.1833910034602076
chunk_infer_off,7,0.86,0.292,0.7678257575757576,0.7933333333333334,0.8126235449735449,0.0,0.0118102971027864,0.1764705882352941
chunk_infer_off,8,0.86,0.292,0.7698257575757576,0.82,0.8367568783068784,0.0,0.0114412253183244,0.1799307958477508
chunk_infer_off,9,0.86,0.296,0.7736590909090908,0.82,0.8336147266313934,0.0,0.0114412253183244,0.1833910034602076
chunk_infer_on,0,0.92,0.3319999999999999,0.8260013368983958,0.8261904761904763,0.8529765211640212,0.0,0.0123639047794796,0.1591695501730103
chunk_infer_on,1,0.94,0.3179999999999999,0.8216908793820561,0.7881666666666667,0.816937855883094,0.0,0.0138401919173279,0.1418685121107266
chunk_infer_on,2,0.96,0.346,0.8651680035650625,0.8505555555555556,0.866754298941799,0.0,0.0136556560250968,0.1384083044982699
chunk_infer_on,3,0.96,0.3379999999999999,0.8572942661913252,0.8365,0.8653296075837743,0.0,0.0131020483484037,0.1522491349480969
